date,load,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 00:00:00,1.95,12562919424.0,107150557184.0,3.153241223e+16,1000161280.0,45097156608.0,36888887296.0,0.0,456.62,99.98,30431660.03
2018-07-24 00:10:00,1.36,12562960384.0,11208126464.0,3.153366093e+16,1001754624.0,45097156608.0,36020236288.0,74.0,313.04,96.06,29656321.1
2018-07-24 00:20:00,1.89,1028308512768.0,11208126464.0,3.153477776e+16,1003294720.0,45097156608.0,35446517760.0,64.0,316.49,95.53,27126301.17
2018-07-24 00:30:00,0.98,12563042304.0,800867106816.0,3.153575502e+16,1004830720.0,45097156608.0,34406354944.0,0.0,272.66,90.75,22826371.7
2018-07-24 00:40:00,0.88,1028308512768.0,800867106816.0,3.15366846e+16,1006288896.0,45097156608.0,33728761856.0,65.0,250.42,85.55,23135181.3
2018-07-24 00:50:00,0.76,47409023832064.0,107152125952.0,3.153750099e+16,1007452160.0,45097156608.0,33719324672.0,57.0,170.68,85.33,20208394.83
2018-07-24 01:00:00,0.86,47409523425280.0,11208126464.0,3.153827521e+16,1008529408.0,45097156608.0,33659965440.0,87.0,123.78,84.89,8322069.27
2018-07-24 01:10:00,0.6,1028308525056.0,11208126464.0,3.153902178e+16,1009721344.0,45097156608.0,33680482304.0,76.0,129.68,85.01,16227992.43
2018-07-24 01:20:00,0.65,48398595207168.0,107178119168.0,3.153953914e+16,1010683904.0,45097156608.0,33869127680.0,79.0,123.65,85.44,16356563.3
2018-07-24 01:30:00,0.73,1028308525056.0,107178160128.0,3.154019517e+16,1011683328.0,45097156608.0,33713098752.0,83.0,112.47,85.11,14826061.0
2018-07-24 01:40:00,0.95,1028308525056.0,800867119104.0,3.15406225e+16,1012641792.0,45097156608.0,33744089088.0,73.0,105.89,85.19,13848111.37
2018-07-24 01:50:00,0.68,47410785214464.0,800867119104.0,3.154110761e+16,1013587968.0,45097156608.0,33581424640.0,0.0,78.15,84.85,9472579.43
2018-07-24 02:00:00,0.47,12563410944.0,11208126464.0,3.154155055e+16,1014452224.0,45097156608.0,34021040128.0,0.0,65.01,85.83,8654246.23
2018-07-24 02:10:00,0.97,47411167506432.0,107178311680.0,3.154188887e+16,1015386112.0,45097156608.0,33821835264.0,0.0,51.41,85.41,6724122.37
2018-07-24 02:20:00,0.32,47412051206144.0,157783588864.0,3.154231011e+16,1016168448.0,45097156608.0,33645342720.0,65.0,103.66,85.02,12072536.57
2018-07-24 02:30:00,0.66,12563533824.0,11208126464.0,3.154269937e+16,1016897536.0,45097156608.0,33618509824.0,0.0,68.38,84.97,8874902.13
2018-07-24 02:40:00,0.26,1028308545536.0,800867139584.0,3.154296685e+16,1017675776.0,45097156608.0,33482743808.0,0.0,37.92,84.68,4984066.47
2018-07-24 02:50:00,0.11,12563611648.0,107178459136.0,3.15432015e+16,1018363904.0,45097156608.0,33687146496.0,87.0,60.68,85.14,7751472.27
2018-07-24 03:00:00,0.16,1028308545536.0,107178491904.0,3.154354314e+16,1019142144.0,45097156608.0,33755447296.0,76.0,59.87,85.3,7772869.4
2018-07-24 03:10:00,0.47,12563697664.0,11208126464.0,3.154385586e+16,1019817984.0,45097156608.0,33619402752.0,80.0,60.09,85.0,7440426.77
2018-07-24 03:20:00,0.39,12563738624.0,11208126464.0,3.154406825e+16,1020579840.0,45097156608.0,33682300928.0,83.0,46.78,85.15,6141944.67
2018-07-24 03:30:00,0.27,1028308545536.0,11208126464.0,3.154427404e+16,1021218816.0,45097156608.0,33576730624.0,0.0,68.01,84.92,8347358.3
2018-07-24 03:40:00,0.31,47413205041152.0,107178504192.0,3.154446288e+16,1021497344.0,45097156608.0,33648361472.0,74.0,58.33,85.08,7281922.53
2018-07-24 03:50:00,0.31,12563861504.0,11208126464.0,3.154475077e+16,1021497344.0,45097156608.0,33406115840.0,74.0,51.11,85.08,6580770.4
2018-07-24 04:00:00,0.42,1028308545536.0,800867139584.0,3.154505088e+16,1023119360.0,45097156608.0,34126524416.0,0.0,63.48,86.16,5187542.17
2018-07-24 04:10:00,0.11,12563943424.0,11208126464.0,3.154524823e+16,1023746048.0,45097156608.0,35855826944.0,0.0,49.94,90.0,6430148.63
2018-07-24 04:20:00,0.43,12563984384.0,107178672128.0,3.154543278e+16,1024397312.0,45097156608.0,35442941952.0,64.0,36.14,89.09,4706774.43
2018-07-24 04:30:00,0.18,12564025344.0,11208126464.0,3.154561137e+16,1025003520.0,45097156608.0,35196026880.0,57.0,38.95,88.55,4898364.8
2018-07-24 04:40:00,0.59,12564062208.0,800867139584.0,3.154586919e+16,1025613824.0,45097156608.0,34948624384.0,86.0,39.89,88.01,2651930.77
2018-07-24 04:50:00,0.22,12564107264.0,11208126464.0,3.154613213e+16,1026260992.0,45097156608.0,34720145408.0,77.0,30.45,87.51,3724513.47
2018-07-24 05:00:00,0.35,12564148224.0,107178676224.0,3.15463058e+16,1026826240.0,45097156608.0,34385018880.0,81.0,35.39,86.77,4048301.37
2018-07-24 05:10:00,0.19,47414656438272.0,800867139584.0,3.154648759e+16,1027465216.0,45097156608.0,34055127040.0,82.0,21.71,86.05,2680934.33
2018-07-24 05:20:00,0.24,12564230144.0,11208126464.0,3.154665736e+16,1028022272.0,45097156608.0,33844432896.0,71.0,29.71,85.58,3642292.73
2018-07-24 05:30:00,0.18,12564271104.0,11208126464.0,3.154683704e+16,1028575232.0,45097156608.0,33528225792.0,74.0,36.51,84.89,4594861.07
2018-07-24 05:40:00,0.22,12564312064.0,11208126464.0,3.154714676e+16,1029201920.0,45097156608.0,36065832960.0,0.0,16.69,90.52,2039022.93
2018-07-24 05:50:00,0.25,1028308545536.0,107178680320.0,3.154744585e+16,1029849088.0,45097156608.0,35796619264.0,65.0,42.92,89.93,5152037.1
2018-07-24 06:00:00,0.16,12564393984.0,800867139584.0,3.154767551e+16,1030656000.0,45097156608.0,35384901632.0,64.0,49.04,89.03,6545124.63
2018-07-24 06:10:00,0.42,12564434944.0,107178680320.0,3.154792968e+16,1031389184.0,45097156608.0,35014168576.0,57.0,69.86,88.22,8105921.2
2018-07-24 06:20:00,0.26,1028308574208.0,157784969216.0,3.154839789e+16,1032294400.0,45097156608.0,34604269568.0,57.0,73.71,87.31,9499936.6
2018-07-24 06:30:00,0.87,12564516864.0,11208126464.0,3.154868886e+16,1033105408.0,45097156608.0,34222985216.0,0.0,65.19,86.44,8422810.63
2018-07-24 06:40:00,0.23,12564557824.0,800867168256.0,3.154902589e+16,1033990144.0,45097156608.0,33638633472.0,79.0,66.96,85.2,8119077.87
2018-07-24 06:50:00,1.1,47416589086720.0,107178729472.0,3.154964007e+16,1034907648.0,45097156608.0,35582115840.0,0.0,184.76,89.43,12572118.27
2018-07-24 07:00:00,0.35,47416589582336.0,800867176448.0,3.155009741e+16,1035747328.0,45097156608.0,39310528512.0,83.0,91.66,97.72,12240491.07
2018-07-24 07:10:00,0.96,12564680704.0,11208126464.0,3.155077808e+16,1036726272.0,45097156608.0,39270248448.0,0.0,115.55,97.21,13970526.3
2018-07-24 07:20:00,0.49,12564725760.0,11208130560.0,3.155130011e+16,1037713408.0,45097156608.0,38319443968.0,74.0,135.22,95.12,17529676.3
2018-07-24 07:30:00,1.24,47416808226816.0,11208130560.0,3.155206569e+16,1038958592.0,45097156608.0,37544505344.0,65.0,152.88,93.41,17226529.3
2018-07-24 07:40:00,0.48,12564807680.0,11208130560.0,3.155286301e+16,1040203776.0,45097156608.0,36498788352.0,65.0,164.65,91.11,20216349.67
2018-07-24 07:50:00,0.63,1028308672512.0,107179249664.0,3.155362833e+16,1041600512.0,45097156608.0,35560165376.0,0.0,251.86,96.38,18882723.97
